GO_ID,term,GOSlim_bin,aspect
GO:0007131,reciprocal meiotic recombination,cell cycle and proliferation,P
GO:0007131,reciprocal meiotic recombination,DNA metabolism,P
GO:0007132,meiotic metaphase I,cell cycle and proliferation,P
GO:0007133,meiotic anaphase I,cell cycle and proliferation,P
GO:0007134,meiotic telophase I,cell cycle and proliferation,P
GO:0007135,meiosis II,cell cycle and proliferation,P
GO:0007136,meiotic prophase II,cell cycle and proliferation,P
GO:0007137,meiotic metaphase II,cell cycle and proliferation,P
GO:0007138,meiotic anaphase II,cell cycle and proliferation,P
GO:0007139,meiotic telophase II,cell cycle and proliferation,P
GO:0007140,male meiosis,cell cycle and proliferation,P
GO:0007141,male meiosis I,cell cycle and proliferation,P
GO:0007142,male meiosis II,cell cycle and proliferation,P
GO:0007143,female meiosis,cell cycle and proliferation,P
GO:0007144,female meiosis I,cell cycle and proliferation,P
GO:0007146,meiotic recombination nodule assembly,cell cycle and proliferation,P
GO:0007146,meiotic recombination nodule assembly,stress response,P
GO:0007146,meiotic recombination nodule assembly,DNA metabolism,P
GO:0007146,meiotic recombination nodule assembly,cell organization and biogenesis,P
GO:0007147,female meiosis II,cell cycle and proliferation,P
GO:0007154,cell communication,other biological processes,P
GO:0007155,cell adhesion,cell adhesion,P
GO:0007156,homophilic cell adhesion,cell adhesion,P
GO:0007157,heterophilic cell adhesion,cell adhesion,P
GO:0007158,neuron adhesion,cell adhesion,P
GO:0007159,leukocyte adhesion,cell adhesion,P
GO:0007160,cell-matrix adhesion,cell adhesion,P
GO:0007161,calcium-independent cell-matrix adhesion,cell adhesion,P
GO:0007162,negative regulation of cell adhesion,cell adhesion,P
GO:0007163,establishment or maintenance of cell polarity,cell organization and biogenesis,P
GO:0007164,establishment of tissue polarity,other biological processes,P
GO:0007165,signal transduction,signal transduction,P
GO:0007166,cell surface receptor linked signal transduction,signal transduction,P
GO:0007167,enzyme linked receptor protein signaling pathway,signal transduction,P
GO:0007168,receptor guanylyl cyclase signaling pathway,signal transduction,P
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,signal transduction,P
GO:0007171,activation of transmembrane receptor protein tyrosine kinase activity,signal transduction,P
GO:0007171,activation of transmembrane receptor protein tyrosine kinase activity,other metabolic processes,P
GO:0007171,activation of transmembrane receptor protein tyrosine kinase activity,cell organization and biogenesis,P
GO:0007172,signal complex assembly,signal transduction,P
GO:0007172,signal complex assembly,cell organization and biogenesis,P
GO:0007173,epidermal growth factor receptor signaling pathway,signal transduction,P
GO:0007174,epidermal growth factor ligand processing,signal transduction,P
GO:0007174,epidermal growth factor ligand processing,protein metabolism,P
GO:0007175,negative regulation of epidermal growth factor receptor activity,signal transduction,P
GO:0007175,negative regulation of epidermal growth factor receptor activity,other metabolic processes,P
GO:0007176,regulation of epidermal growth factor receptor activity,signal transduction,P
GO:0007176,regulation of epidermal growth factor receptor activity,other metabolic processes,P
GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,signal transduction,P
GO:0007387,anterior compartment specification,developmental processes,P
GO:0007179,transforming growth factor beta receptor signaling pathway,signal transduction,P
GO:0007181,transforming growth factor beta receptor complex assembly,signal transduction,P
GO:0007181,transforming growth factor beta receptor complex assembly,cell organization and biogenesis,P
GO:0007182,common-partner SMAD protein phosphorylation,signal transduction,P
GO:0007182,common-partner SMAD protein phosphorylation,protein metabolism,P
GO:0007183,SMAD protein complex assembly,signal transduction,P
GO:0007183,SMAD protein complex assembly,cell organization and biogenesis,P
GO:0007184,SMAD protein nuclear translocation,signal transduction,P
GO:0007184,SMAD protein nuclear translocation,transport,P
GO:0007185,transmembrane receptor protein tyrosine phosphatase signaling pathway,signal transduction,P
GO:0007186,G-protein coupled receptor protein signaling pathway,signal transduction,P
GO:0007187,"G-protein signaling, coupled to cyclic nucleotide second messenger",signal transduction,P
GO:0007188,"G-protein signaling, coupled to cAMP nucleotide second messenger",signal transduction,P
GO:0007189,activation of adenylate cyclase activity by G-protein signaling pathway,signal transduction,P
GO:0007189,activation of adenylate cyclase activity by G-protein signaling pathway,other metabolic processes,P
GO:0007190,activation of adenylate cyclase activity,other metabolic processes,P
GO:0007191,activation of adenylate cyclase activity by dopamine receptor signaling pathway,signal transduction,P
GO:0007191,activation of adenylate cyclase activity by dopamine receptor signaling pathway,other metabolic processes,P
GO:0007192,activation of adenylate cyclase activity by serotonin receptor signaling pathway,signal transduction,P
GO:0007192,activation of adenylate cyclase activity by serotonin receptor signaling pathway,other metabolic processes,P
GO:0007193,inhibition of adenylate cyclase activity by G-protein signaling,signal transduction,P
GO:0007193,inhibition of adenylate cyclase activity by G-protein signaling,other metabolic processes,P
GO:0007194,negative regulation of adenylate cyclase activity,other metabolic processes,P
GO:0007195,inhibition of adenylate cyclase activity by dopamine receptor signaling pathway,signal transduction,P
GO:0007195,inhibition of adenylate cyclase activity by dopamine receptor signaling pathway,other metabolic processes,P
GO:0007196,inhibition of adenylate cyclase activity by metabotropic glutamate receptor signaling pathway,signal transduction,P
GO:0007196,inhibition of adenylate cyclase activity by metabotropic glutamate receptor signaling pathway,other metabolic processes,P
GO:0007197,inhibition of adenylate cyclase activity by muscarinic acetylcholine receptor signaling pathway,signal transduction,P
GO:0007197,inhibition of adenylate cyclase activity by muscarinic acetylcholine receptor signaling pathway,other metabolic processes,P
GO:0007198,inhibition of adenylate cyclase activity by serotonin receptor signaling pathway,signal transduction,P
GO:0007198,inhibition of adenylate cyclase activity by serotonin receptor signaling pathway,other metabolic processes,P
GO:0007199,"G-protein signaling, coupled to cGMP nucleotide second messenger",signal transduction,P
GO:0007200,activation of phospholipase C activity by G-protein coupled receptor protein signaling pathway coupled to IP3 second messenger,signal transduction,P
GO:0007202,activation of phospholipase C activity,other biological processes,P
GO:0007204,elevation of cytosolic calcium ion concentration,other biological processes,P
GO:0007205,activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway,signal transduction,P
GO:0007205,activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway,other metabolic processes,P
GO:0007206,activation of phospholipase C activity by metabotropic glutamate receptor signaling pathway,signal transduction,P
GO:0007207,activation of phospholipase C activity by muscarinic acetylcholine receptor signaling pathway,signal transduction,P
GO:0007208,activation of phospholipase C activity by serotonin receptor signaling pathway,signal transduction,P
GO:0007209,activation of phospholipase C activity by tachykinin receptor signaling pathway,signal transduction,P
GO:0007210,serotonin receptor signaling pathway,signal transduction,P
GO:0007211,octopamine/tyramine signaling pathway,signal transduction,P
GO:0007212,dopamine receptor signaling pathway,signal transduction,P
GO:0007213,muscarinic acetylcholine receptor signaling pathway,signal transduction,P
GO:0007214,gamma-aminobutyric acid signaling pathway,signal transduction,P
GO:0007215,glutamate signaling pathway,signal transduction,P
GO:0007216,metabotropic glutamate receptor signaling pathway,signal transduction,P
GO:0007217,tachykinin receptor signaling pathway,signal transduction,P
GO:0007218,neuropeptide signaling pathway,signal transduction,P
GO:0007219,Notch signaling pathway,signal transduction,P
GO:0007220,Notch receptor processing,signal transduction,P
GO:0007220,Notch receptor processing,protein metabolism,P
GO:0007221,positive regulation of transcription of Notch receptor target,signal transduction,P
GO:0007221,positive regulation of transcription of Notch receptor target,RNA metabolism,P
GO:0007223,"Wnt receptor signaling pathway, calcium modulating pathway",signal transduction,P
GO:0007224,smoothened signaling pathway,signal transduction,P
GO:0007225,patched ligand processing,signal transduction,P
GO:0007225,patched ligand processing,protein metabolism,P
GO:0007227,signal transduction downstream of smoothened,signal transduction,P
GO:0007228,positive regulation of hh target transcription factor activity,signal transduction,P
GO:0007228,positive regulation of hh target transcription factor activity,RNA metabolism,P
GO:0007229,integrin-mediated signaling pathway,signal transduction,P
GO:0007231,osmosensory signaling pathway,signal transduction,P
GO:0007231,osmosensory signaling pathway,stress response,P
GO:0007232,osmosensory signaling pathway via Sho1 osmosensor,signal transduction,P
GO:0007232,osmosensory signaling pathway via Sho1 osmosensor,stress response,P
GO:0007234,osmosensory signaling pathway via two-component system,signal transduction,P
GO:0007234,osmosensory signaling pathway via two-component system,stress response,P
GO:0007242,intracellular signaling cascade,signal transduction,P
GO:0007243,protein kinase cascade,signal transduction,P
GO:0007249,I-kappaB kinase/NF-kappaB cascade,signal transduction,P
GO:0007250,activation of NF-kappaB-inducing kinase activity,signal transduction,P
GO:0007250,activation of NF-kappaB-inducing kinase activity,other metabolic processes,P
GO:0007252,I-kappaB phosphorylation,signal transduction,P
GO:0007252,I-kappaB phosphorylation,protein metabolism,P
GO:0007253,cytoplasmic sequestering of NF-kappaB,signal transduction,P
GO:0007253,cytoplasmic sequestering of NF-kappaB,transport,P
GO:0007254,JNK cascade,signal transduction,P
GO:0007254,JNK cascade,stress response,P
GO:0007256,activation of JNKK activity,signal transduction,P
GO:0007256,activation of JNKK activity,stress response,P
GO:0007256,activation of JNKK activity,protein metabolism,P
GO:0007257,activation of JUN kinase activity,signal transduction,P
GO:0007257,activation of JUN kinase activity,stress response,P
GO:0007257,activation of JUN kinase activity,protein metabolism,P
GO:0007258,JUN phosphorylation,signal transduction,P
GO:0007258,JUN phosphorylation,stress response,P
GO:0007258,JUN phosphorylation,protein metabolism,P
GO:0007259,JAK-STAT cascade,signal transduction,P
GO:0007260,tyrosine phosphorylation of STAT protein,signal transduction,P
GO:0007260,tyrosine phosphorylation of STAT protein,protein metabolism,P
GO:0007261,JAK-induced STAT protein dimerization,signal transduction,P
GO:0007261,JAK-induced STAT protein dimerization,cell organization and biogenesis,P
GO:0007262,STAT protein nuclear translocation,signal transduction,P
GO:0007262,STAT protein nuclear translocation,transport,P
GO:0007263,nitric oxide mediated signal transduction,signal transduction,P
GO:0007264,small GTPase mediated signal transduction,signal transduction,P
GO:0007265,Ras protein signal transduction,signal transduction,P
GO:0007266,Rho protein signal transduction,signal transduction,P
GO:0007267,cell-cell signaling,cell-cell signaling,P
GO:0007268,synaptic transmission,cell-cell signaling,P
GO:0007269,neurotransmitter secretion,transport,P
GO:0007269,neurotransmitter secretion,cell-cell signaling,P
GO:0007270,nerve-nerve synaptic transmission,cell-cell signaling,P
GO:0007271,"synaptic transmission, cholinergic",cell-cell signaling,P
GO:0007272,ensheathment of neurons,developmental processes,P
GO:0007274,neuromuscular synaptic transmission,cell-cell signaling,P
GO:0007275,multicellular organismal development,developmental processes,P
GO:0007276,gamete generation,other biological processes,P
GO:0007277,pole cell development,other biological processes,P
GO:0007278,pole cell fate determination,other biological processes,P
GO:0007279,pole cell formation,developmental processes,P
GO:0007280,pole cell migration,other biological processes,P
GO:0007281,germ cell development,other biological processes,P
GO:0007282,cystoblast division,other biological processes,P
GO:0007283,spermatogenesis,other biological processes,P
GO:0007284,spermatogonial cell division,cell cycle and proliferation,P
GO:0007285,primary spermatocyte growth,other biological processes,P
GO:0007286,spermatid development,other biological processes,P
GO:0007287,Nebenkern formation,cell organization and biogenesis,P
GO:0007288,sperm axoneme assembly,cell organization and biogenesis,P
GO:0007289,spermatid nucleus differentiation,cell organization and biogenesis,P
GO:0007290,spermatid nucleus elongation,cell organization and biogenesis,P
GO:0007291,sperm individualization,developmental processes,P
GO:0007292,female gamete generation,other biological processes,P
GO:0007293,germarium-derived egg chamber formation,other biological processes,P
GO:0007294,germarium-derived oocyte fate determination,other biological processes,P
GO:0007295,growth of a germarium-derived egg chamber,other biological processes,P
GO:0007296,vitellogenesis,cell organization and biogenesis,P
GO:0007297,ovarian follicle cell migration,other biological processes,P
GO:0007298,border follicle cell migration,other biological processes,P
GO:0007299,ovarian follicle cell adhesion,cell adhesion,P
GO:0007300,ovarian nurse cell to oocyte transport,transport,P
GO:0007301,ovarian ring canal formation,transport,P
GO:0007301,ovarian ring canal formation,cell organization and biogenesis,P
GO:0007302,nurse cell nucleus anchoring,transport,P
GO:0007303,"cytoplasmic transport, nurse cell to oocyte",transport,P
GO:0007304,chorion-containing eggshell formation,other biological processes,P
GO:0007305,vitelline membrane formation in chorion-containing eggshell,cell organization and biogenesis,P
GO:0007306,eggshell chorion assembly,cell organization and biogenesis,P
GO:0007307,eggshell chorion gene amplification,DNA metabolism,P
GO:0007307,eggshell chorion gene amplification,cell organization and biogenesis,P
GO:0007308,oocyte construction,cell organization and biogenesis,P
GO:0007309,oocyte axis specification,developmental processes,P
GO:0007309,oocyte axis specification,cell organization and biogenesis,P
GO:0007310,oocyte dorsal/ventral axis specification,developmental processes,P
GO:0007310,oocyte dorsal/ventral axis specification,cell organization and biogenesis,P
GO:0007311,"maternal specification of dorsal/ventral axis, oocyte, germ-line encoded",developmental processes,P
GO:0007311,"maternal specification of dorsal/ventral axis, oocyte, germ-line encoded",cell organization and biogenesis,P
GO:0007312,oocyte nucleus migration during oocyte axis specification,developmental processes,P
GO:0007312,oocyte nucleus migration during oocyte axis specification,cell organization and biogenesis,P
GO:0007313,"maternal specification of dorsal/ventral axis, oocyte, soma encoded",developmental processes,P
GO:0007313,"maternal specification of dorsal/ventral axis, oocyte, soma encoded",cell organization and biogenesis,P
GO:0007314,oocyte anterior/posterior axis specification,developmental processes,P
GO:0007314,oocyte anterior/posterior axis specification,cell organization and biogenesis,P
GO:0007315,pole plasm assembly,developmental processes,P
GO:0007315,pole plasm assembly,cell organization and biogenesis,P
GO:0007316,pole plasm RNA localization,developmental processes,P
GO:0007316,pole plasm RNA localization,cell organization and biogenesis,P
GO:0007317,regulation of pole plasm oskar mRNA localization,developmental processes,P
GO:0007317,regulation of pole plasm oskar mRNA localization,cell organization and biogenesis,P
GO:0007318,pole plasm protein localization,developmental processes,P
GO:0007318,pole plasm protein localization,cell organization and biogenesis,P
GO:0007319,negative regulation of oskar mRNA translation,protein metabolism,P
GO:0007320,insemination,other biological processes,P
GO:0007321,sperm displacement,other biological processes,P
GO:0007323,peptide pheromone maturation,protein metabolism,P
GO:0007329,positive regulation of transcription from RNA polymerase II promoter by pheromones,RNA metabolism,P
GO:0007338,single fertilization,other biological processes,P
GO:0007339,binding of sperm to zona pellucida,other biological processes,P
GO:0007340,acrosome reaction,other biological processes,P
GO:0007341,penetration of zona pellucida,other biological processes,P
GO:0007342,fusion of sperm to egg plasma membrane,cell organization and biogenesis,P
GO:0007343,egg activation,other biological processes,P
GO:0007344,pronuclear fusion,cell organization and biogenesis,P
GO:0007346,regulation of mitotic cell cycle,cell cycle and proliferation,P
GO:0007347,regulation of preblastoderm mitotic cell cycle,cell cycle and proliferation,P
GO:0007347,regulation of preblastoderm mitotic cell cycle,developmental processes,P
GO:0007348,regulation of syncytial blastoderm mitotic cell cycle,cell cycle and proliferation,P
GO:0007348,regulation of syncytial blastoderm mitotic cell cycle,developmental processes,P
GO:0007349,cellularization,developmental processes,P
GO:0007350,blastoderm segmentation,developmental processes,P
GO:0007351,tripartite regional subdivision,developmental processes,P
GO:0007352,zygotic determination of dorsal/ventral axis,developmental processes,P
GO:0007354,"zygotic determination of anterior/posterior axis, embryo",developmental processes,P
GO:0007355,anterior region determination,developmental processes,P
GO:0007356,thorax and anterior abdomen determination,developmental processes,P
GO:0007357,positive regulation of central gap gene transcription,developmental processes,P
GO:0007357,positive regulation of central gap gene transcription,RNA metabolism,P
GO:0007358,establishment of central gap gene boundaries,developmental processes,P
GO:0007359,posterior abdomen determination,developmental processes,P
GO:0007360,positive regulation of posterior gap gene transcription,developmental processes,P
GO:0007360,positive regulation of posterior gap gene transcription,RNA metabolism,P
GO:0007361,establishment of posterior gap gene boundaries,developmental processes,P
GO:0007362,terminal region determination,developmental processes,P
GO:0007363,positive regulation of terminal gap gene transcription,developmental processes,P
GO:0007363,positive regulation of terminal gap gene transcription,RNA metabolism,P
GO:0007364,establishment of terminal gap gene boundary,developmental processes,P
GO:0007365,periodic partitioning,developmental processes,P
GO:0007366,periodic partitioning by pair rule gene,developmental processes,P
GO:0007367,segment polarity determination,developmental processes,P
GO:0007368,determination of left/right symmetry,developmental processes,P
GO:0007369,gastrulation,developmental processes,P
GO:0007370,ventral furrow formation,developmental processes,P
GO:0007371,ventral midline determination,developmental processes,P
GO:0007372,determination of anterior border of ventral midline,developmental processes,P
GO:0007373,determination of posterior border of ventral midline,developmental processes,P
GO:0007374,posterior midgut invagination,developmental processes,P
GO:0007375,anterior midgut invagination,developmental processes,P
GO:0007376,cephalic furrow formation,developmental processes,P
GO:0007377,germ-band extension,developmental processes,P
GO:0007378,amnioserosa formation,developmental processes,P
GO:0007379,segment specification,developmental processes,P
GO:0007380,"specification of segmental identity, head",developmental processes,P
GO:0007381,"specification of segmental identity, labial segment",developmental processes,P
GO:0007382,"specification of segmental identity, maxillary segment",developmental processes,P
GO:0007383,"specification of segmental identity, antennal segment",developmental processes,P
GO:0007384,"specification of segmental identity, thorax",developmental processes,P
GO:0007385,"specification of segmental identity, abdomen",developmental processes,P
GO:0007386,compartment specification,developmental processes,P
GO:0007388,posterior compartment specification,developmental processes,P
GO:0007389,pattern specification process,developmental processes,P
GO:0007390,germ-band shortening,developmental processes,P
GO:0007391,dorsal closure,developmental processes,P
GO:0007392,initiation of dorsal closure,developmental processes,P
GO:0007393,"dorsal closure, leading edge cell fate determination",developmental processes,P
GO:0007394,"dorsal closure, elongation of leading edge cells",developmental processes,P
GO:0007394,"dorsal closure, elongation of leading edge cells",cell organization and biogenesis,P
GO:0007395,"dorsal closure, spreading of leading edge cells",developmental processes,P
GO:0007396,suture of dorsal opening,developmental processes,P
GO:0007398,ectoderm development,developmental processes,P
GO:0007399,nervous system development,developmental processes,P
GO:0007400,neuroblast fate determination,developmental processes,P
GO:0007402,ganglion mother cell fate determination,other biological processes,P
GO:0007403,glial cell fate determination,developmental processes,P
GO:0007405,neuroblast proliferation,cell cycle and proliferation,P
GO:0007405,neuroblast proliferation,developmental processes,P
GO:0007406,negative regulation of neuroblast proliferation,cell cycle and proliferation,P
GO:0007406,negative regulation of neuroblast proliferation,developmental processes,P
GO:0007407,neuroblast activation,developmental processes,P
GO:0007409,axonogenesis,developmental processes,P
GO:0007409,axonogenesis,cell organization and biogenesis,P
GO:0007411,axon guidance,developmental processes,P
GO:0007411,axon guidance,cell organization and biogenesis,P
GO:0007412,axon target recognition,developmental processes,P
GO:0007412,axon target recognition,cell organization and biogenesis,P
GO:0007413,axonal fasciculation,developmental processes,P
GO:0007413,axonal fasciculation,cell organization and biogenesis,P
GO:0007414,axonal defasciculation,developmental processes,P
GO:0007414,axonal defasciculation,cell organization and biogenesis,P
GO:0007415,defasciculation of motor neuron axon,developmental processes,P
GO:0007415,defasciculation of motor neuron axon,cell organization and biogenesis,P
GO:0007416,synaptogenesis,developmental processes,P
GO:0007416,synaptogenesis,cell organization and biogenesis,P
GO:0007417,central nervous system development,developmental processes,P
GO:0007418,ventral midline development,developmental processes,P
GO:0007419,ventral cord development,developmental processes,P
GO:0007420,brain development,developmental processes,P
GO:0007421,stomatogastric nervous system development,developmental processes,P
GO:0007422,peripheral nervous system development,developmental processes,P
GO:0007423,sensory organ development,developmental processes,P
GO:0007424,open tracheal system development,developmental processes,P
GO:0007425,"epithelial cell fate determination, open tracheal system",developmental processes,P
GO:0007426,"tracheal outgrowth, open tracheal system",developmental processes,P
GO:0007427,"epithelial cell migration, open tracheal system",developmental processes,P
GO:0007428,"primary branching, open tracheal system",developmental processes,P
GO:0007429,"secondary branching, open tracheal system",developmental processes,P
GO:0007430,"terminal branching, open tracheal system",developmental processes,P
GO:0007431,salivary gland development,developmental processes,P
GO:0007432,salivary gland boundary specification,developmental processes,P
GO:0007433,larval salivary gland boundary specification,developmental processes,P
GO:0007434,adult salivary gland boundary specification,developmental processes,P
GO:0007435,salivary gland morphogenesis,developmental processes,P
GO:0007436,larval salivary gland morphogenesis,developmental processes,P
GO:0007437,adult salivary gland morphogenesis,developmental processes,P
GO:0007438,oenocyte development,other biological processes,P
GO:0007439,ectodermal gut development,developmental processes,P
GO:0007440,foregut morphogenesis,developmental processes,P
GO:0007441,anterior midgut (ectodermal) morphogenesis,developmental processes,P
GO:0007442,hindgut morphogenesis,developmental processes,P
GO:0007443,Malpighian tubule morphogenesis,developmental processes,P
GO:0007444,imaginal disc development,developmental processes,P
GO:0007445,determination of imaginal disc primordium,developmental processes,P
GO:0007446,imaginal disc growth,developmental processes,P
GO:0007447,imaginal disc pattern formation,developmental processes,P
GO:0007448,"anterior/posterior pattern formation, imaginal disc",developmental processes,P
GO:0007449,"proximal/distal pattern formation, imaginal disc",developmental processes,P
GO:0007450,"dorsal/ventral pattern formation, imaginal disc",developmental processes,P
GO:0007451,"dorsal/ventral lineage restriction, imaginal disc",developmental processes,P
GO:0007453,clypeo-labral disc morphogenesis,developmental processes,P
GO:0007454,labial disc morphogenesis,developmental processes,P
GO:0007455,eye-antennal disc morphogenesis,developmental processes,P
GO:0007458,progression of morphogenetic furrow during compound eye morphogenesis,developmental processes,P
GO:0007460,R8 cell fate commitment,developmental processes,P
GO:0007462,R1/R6 cell fate commitment,developmental processes,P
GO:0007463,R2/R5 cell fate commitment,developmental processes,P
GO:0007464,R3/R4 cell fate commitment,developmental processes,P
GO:0007464,R3/R4 cell fate commitment,cell organization and biogenesis,P
GO:0007465,R7 cell fate commitment,developmental processes,P
GO:0007468,regulation of rhodopsin gene expression,other metabolic processes,P
GO:0007468,regulation of rhodopsin gene expression,developmental processes,P
GO:0007469,antennal development,developmental processes,P
GO:0007470,prothoracic disc morphogenesis,developmental processes,P
GO:0007472,wing disc morphogenesis,developmental processes,P
GO:0007473,wing disc proximal/distal pattern formation,developmental processes,P
GO:0007474,imaginal disc-derived wing vein specification,developmental processes,P
GO:0007475,apposition of dorsal and ventral imaginal disc-derived wing surfaces,developmental processes,P
GO:0007476,imaginal disc-derived wing morphogenesis,developmental processes,P
GO:0007477,notum development,developmental processes,P
GO:0007478,leg disc morphogenesis,developmental processes,P
GO:0007479,leg disc proximal/distal pattern formation,developmental processes,P
GO:0007480,imaginal disc-derived leg morphogenesis,developmental processes,P
GO:0007481,haltere disc morphogenesis,developmental processes,P
GO:0007482,haltere development,developmental processes,P
GO:0007483,genital disc morphogenesis,developmental processes,P
GO:0007484,imaginal disc-derived genitalia development,developmental processes,P
GO:0007485,imaginal disc-derived male genitalia development,developmental processes,P
GO:0007486,imaginal disc-derived female genitalia development,developmental processes,P
GO:0007487,analia development,developmental processes,P
GO:0007488,histoblast morphogenesis,developmental processes,P
GO:0007489,maintenance of imaginal histoblast diploidy,developmental processes,P
GO:0007490,tergite morphogenesis,developmental processes,P
GO:0007491,sternite morphogenesis,developmental processes,P
GO:0007492,endoderm development,developmental processes,P
GO:0007493,endodermal cell fate determination,developmental processes,P
GO:0007494,midgut development,developmental processes,P
GO:0007495,visceral mesoderm-endoderm interaction involved in midgut development,developmental processes,P
GO:0007495,visceral mesoderm-endoderm interaction involved in midgut development,cell-cell signaling,P
GO:0007496,anterior midgut development,developmental processes,P
GO:0007497,posterior midgut development,developmental processes,P
GO:0007498,mesoderm development,developmental processes,P
GO:0007499,ectoderm and mesoderm interaction,developmental processes,P
GO:0007499,ectoderm and mesoderm interaction,cell-cell signaling,P
GO:0007500,mesodermal cell fate determination,developmental processes,P
GO:0007501,mesodermal cell fate specification,developmental processes,P
GO:0007502,gut mesoderm development,developmental processes,P
GO:0007503,fat body development,developmental processes,P
GO:0007504,larval fat body development,developmental processes,P
GO:0007505,adult fat body development,developmental processes,P
GO:0007506,gonadal mesoderm development,developmental processes,P
GO:0007507,heart development,developmental processes,P
GO:0007508,larval heart development,developmental processes,P
GO:0007509,mesoderm migration,developmental processes,P
GO:0007510,cardioblast cell fate determination,developmental processes,P
GO:0007512,adult heart development,developmental processes,P
GO:0007513,pericardial cell differentiation,developmental processes,P
GO:0007514,garland cell differentiation,developmental processes,P
GO:0007516,hemocyte development,developmental processes,P
GO:0007517,muscle organ development,developmental processes,P
GO:0007518,myoblast cell fate determination,developmental processes,P
GO:0007519,skeletal muscle tissue development,developmental processes,P
GO:0007520,myoblast fusion,developmental processes,P
GO:0007520,myoblast fusion,cell organization and biogenesis,P
GO:0007521,muscle cell fate determination,developmental processes,P
GO:0007522,visceral muscle development,developmental processes,P
GO:0007523,larval visceral muscle development,developmental processes,P
GO:0007524,adult visceral muscle development,developmental processes,P
GO:0007525,somatic muscle development,developmental processes,P
GO:0007526,larval somatic muscle development,developmental processes,P
GO:0007527,adult somatic muscle development,developmental processes,P
GO:0007528,neuromuscular junction development,developmental processes,P
GO:0007528,neuromuscular junction development,cell organization and biogenesis,P
GO:0007529,establishment of synaptic specificity at neuromuscular junction,developmental processes,P
GO:0007529,establishment of synaptic specificity at neuromuscular junction,cell organization and biogenesis,P
GO:0007530,sex determination,other biological processes,P
GO:0007531,mating type determination,other biological processes,P
GO:0007532,"regulation of transcription, mating-type specific",RNA metabolism,P
GO:0007533,mating type switching,DNA metabolism,P
GO:0007534,gene conversion at mating-type locus,DNA metabolism,P
GO:0007535,donor selection,DNA metabolism,P
GO:0007536,activation of recombination (HML),DNA metabolism,P
GO:0007537,inactivation of recombination (HML),DNA metabolism,P
GO:0007538,primary sex determination,developmental processes,P
GO:0007539,"primary sex determination, soma",developmental processes,P
GO:0007540,"sex determination, establishment of X:A ratio",developmental processes,P
GO:0007541,"sex determination, primary response to X:A ratio",developmental processes,P
GO:0007542,"primary sex determination, germ-line",developmental processes,P
GO:0007543,"sex determination, somatic-gonadal interaction",developmental processes,P
GO:0007545,processes downstream of sex determination signal,developmental processes,P
GO:0007546,somatic processes downstream of sex determination signal,developmental processes,P
GO:0007547,germ-line processes downstream of sex determination signal,developmental processes,P
GO:0007548,sex differentiation,other biological processes,P
GO:0007549,dosage compensation,other metabolic processes,P
GO:0007552,metamorphosis,other biological processes,P
GO:0007553,regulation of ecdysteroid metabolic process,other metabolic processes,P
GO:0007553,regulation of ecdysteroid metabolic process,developmental processes,P
GO:0007554,regulation of ecdysteroid biosynthetic process,other metabolic processes,P
GO:0007554,regulation of ecdysteroid biosynthetic process,developmental processes,P
GO:0007555,regulation of ecdysteroid secretion,transport,P
GO:0007555,regulation of ecdysteroid secretion,cell-cell signaling,P
GO:0007556,regulation of juvenile hormone metabolic process,other metabolic processes,P
GO:0007556,regulation of juvenile hormone metabolic process,developmental processes,P
GO:0007557,regulation of juvenile hormone biosynthetic process,other metabolic processes,P
GO:0007557,regulation of juvenile hormone biosynthetic process,developmental processes,P
GO:0007558,regulation of juvenile hormone secretion,transport,P
GO:0007558,regulation of juvenile hormone secretion,cell-cell signaling,P
GO:0007559,histolysis,developmental processes,P
GO:0007559,histolysis,death,P
GO:0007560,imaginal disc morphogenesis,developmental processes,P
GO:0007561,imaginal disc eversion,developmental processes,P
GO:0007562,eclosion,developmental processes,P
GO:0007563,regulation of eclosion,developmental processes,P
GO:0007564,regulation of chitin-based cuticle tanning,developmental processes,P
GO:0007565,female pregnancy,other biological processes,P
GO:0007566,embryo implantation,developmental processes,P
GO:0007567,parturition,other biological processes,P
GO:0007568,aging,other biological processes,P
GO:0007569,cell aging,other biological processes,P
GO:0007571,age-dependent general metabolic decline,other biological processes,P
GO:0007576,nucleolar fragmentation,cell organization and biogenesis,P
GO:0007580,extrachromosomal circular DNA accumulation during cell aging,cell organization and biogenesis,P
GO:0007584,response to nutrient,other biological processes,P
GO:0007585,respiratory gaseous exchange,other biological processes,P
GO:0007586,digestion,other biological processes,P
GO:0007587,sugar utilization,other biological processes,P
GO:0007588,excretion,transport,P
GO:0007589,body fluid secretion,transport,P
GO:0007591,"molting cycle, chitin-based cuticle",other biological processes,P
GO:0007592,protein-based cuticle development,developmental processes,P
GO:0007593,chitin-based cuticle tanning,developmental processes,P
GO:0007594,puparial adhesion,other biological processes,P
GO:0007595,lactation,developmental processes,P
GO:0007596,blood coagulation,stress response,P
GO:0007597,"blood coagulation, intrinsic pathway",stress response,P
GO:0007598,"blood coagulation, extrinsic pathway",stress response,P
GO:0007599,hemostasis,other biological processes,P
